date,open,high,low,close,volume
2022-01-04,68.32,68.47,67.93,67.93,1885600
2022-01-05,68.0,68.16,67.38,67.53,3124600
2022-01-06,67.46,67.46,66.83,66.91,2848200
2022-01-07,66.83,67.06,66.59,66.75,2553900
2022-01-10,67.54,67.7,66.51,66.67,2146400
2022-01-11,66.59,66.91,66.51,66.67,1829000
2022-01-12,66.75,66.75,65.87,66.19,2183600
2022-01-13,66.43,66.67,66.03,66.19,1711600
2022-01-14,66.19,67.78,65.87,67.46,2516600
2022-01-17,67.7,67.7,66.03,66.03,2100400
2022-01-18,66.03,66.51,65.79,66.43,2100400
2022-01-19,66.03,66.51,65.87,66.43,1764900
2022-01-20,66.11,66.35,66.03,66.11,1488400
2022-01-21,66.11,66.35,65.71,65.79,1576400
2022-01-24,65.79,65.87,64.52,64.52,2222200
2022-01-25,64.12,64.52,63.0,63.08,3758600
2022-01-26,63.16,64.12,63.16,63.48,1452100
2022-01-27,63.8,66.43,63.8,66.19,2039000
2022-01-28,66.11,67.07,65.95,66.19,2257400
2022-02-07,66.27,66.91,66.03,66.51,1324200
2022-02-08,66.43,66.51,65.31,65.31,2708900
2022-02-09,65.31,66.67,65.31,65.95,1799300
2022-02-10,65.95,66.35,65.55,65.87,1612500
2022-02-11,65.71,65.79,65.23,65.31,1624600
2022-02-14,64.92,65.31,64.52,64.6,2971800
2022-02-15,64.6,64.92,64.52,64.68,1465300
2022-02-16,64.68,64.76,63.96,64.04,2825100
2022-02-17,64.12,64.68,64.04,64.36,1787700
2022-02-18,63.8,64.36,63.8,64.2,1808100
2022-02-21,64.44,65.0,64.44,64.52,1280600
2022-02-22,64.44,64.52,63.48,63.72,3204500
2022-02-23,63.72,64.12,63.56,63.72,2200300
2022-02-24,63.72,63.72,62.53,62.61,2723500
2022-02-25,62.92,63.32,62.84,62.84,1347700
2022-02-28,62.84,62.92,61.97,62.45,2258900
2022-03-01,62.45,63.24,62.29,63.08,1273100
2022-03-02,63.08,63.08,62.13,62.53,2037100
2022-03-03,62.69,62.92,62.29,62.45,1486600
2022-03-04,62.45,62.45,61.97,62.05,2511600
2022-03-07,62.05,62.05,61.09,61.17,3530800
2022-03-08,60.77,60.93,60.53,60.61,2383000
2022-03-09,60.53,61.17,59.74,59.82,3003700
