Symbol,Date,Open,Close,Volume
YTC,2017-08-03,12.79,12.79,100
YTC,2017-08-04,14.68,14.68,3000
YTC,2017-08-07,14.68,14.68,500
YTC,2017-08-08,14.68,12.49,5500
YTC,2017-08-09,15.02,15.32,10000
YTC,2017-08-10,13.73,13.3,1500
YTC,2017-08-11,13.52,13.52,500
YTC,2017-08-14,13.3,13.3,500
YTC,2017-08-15,13.3,13.3,0
YTC,2017-08-16,13.09,13.09,500
YTC,2017-08-17,12.87,12.87,500
YTC,2017-08-18,13.09,13.09,2500
YTC,2017-08-21,12.87,12.66,1200
YTC,2017-08-22,12.87,14.59,67700
YTC,2017-08-23,12.87,12.66,5500
YTC,2017-08-24,12.87,12.87,5000
YTC,2017-08-25,12.87,12.87,0
YTC,2017-08-28,12.87,12.87,0
YTC,2017-08-29,12.87,12.87,0
YTC,2017-08-30,11.59,11.59,100
YTC,2017-08-31,11.59,11.59,0
YTC,2017-09-01,11.59,11.59,0
YTC,2017-09-05,13.3,13.3,1500
YTC,2017-09-06,13.73,13.73,5000
YTC,2017-09-07,15.79,15.79,100
YTC,2017-09-08,17.16,17.16,100
YTC,2017-09-11,19.74,16.74,1100
YTC,2017-09-12,17.12,17.12,0
YTC,2017-09-13,14.59,14.59,100
YTC,2017-09-14,14.59,14.59,0
YTC,2017-09-15,14.59,14.59,0
YTC,2017-09-18,15.66,15.66,100
YTC,2017-09-19,15.66,15.66,0
YTC,2017-09-20,16.95,16.95,100
YTC,2017-09-21,14.42,14.42,100
YTC,2017-09-22,15.88,15.88,100
YTC,2017-09-25,17.16,16.95,400
YTC,2017-09-26,16.99,16.99,0
YTC,2017-09-27,14.46,14.46,100
YTC,2017-09-28,12.32,16.31,300
YTC,2017-09-29,17.16,17.16,100
YTC,2017-10-02,17.16,17.16,0
YTC,2017-10-03,17.16,17.16,0
YTC,2017-10-04,17.16,17.16,0
YTC,2017-10-05,15.45,15.45,200
YTC,2017-10-06,15.45,15.45,0
YTC,2017-10-09,15.45,15.45,0
YTC,2017-10-10,15.45,15.45,0
YTC,2017-10-11,15.45,15.45,0
YTC,2017-10-12,15.45,15.45,0
YTC,2017-10-13,15.45,15.45,0
YTC,2017-10-16,15.45,15.45,0
YTC,2017-10-17,15.45,15.45,0
YTC,2017-10-18,15.45,15.45,0
YTC,2017-10-19,15.45,15.45,0
YTC,2017-10-20,15.45,15.45,0
YTC,2017-10-23,15.45,15.45,0
YTC,2017-10-24,13.3,13.3,2200
YTC,2017-10-25,13.3,13.3,0
YTC,2017-10-26,13.3,13.3,0
YTC,2017-10-27,13.3,13.3,0
YTC,2017-10-30,13.3,13.3,0
YTC,2017-10-31,14.55,14.55,100
YTC,2017-11-01,16.31,16.31,100
YTC,2017-11-02,15.15,15.15,100
YTC,2017-11-03,15.15,15.15,0
YTC,2017-11-06,15.15,15.15,0
YTC,2017-11-07,15.15,15.15,0
YTC,2017-11-08,15.15,15.15,0
YTC,2017-11-09,15.15,15.15,0
YTC,2017-11-10,12.92,12.92,100
YTC,2017-11-13,12.92,12.92,0
YTC,2017-11-14,14.85,14.85,100
YTC,2017-11-15,14.85,14.85,0
YTC,2017-11-16,14.85,14.85,0
YTC,2017-11-17,14.85,14.85,0
YTC,2017-11-20,14.85,14.85,0
YTC,2017-11-21,14.85,14.85,0
YTC,2017-11-22,14.85,14.85,0
YTC,2017-11-23,14.85,14.85,0
YTC,2017-11-24,14.85,14.85,0
YTC,2017-11-27,14.85,14.85,0
YTC,2017-11-28,12.87,12.66,900
YTC,2017-11-29,14.63,14.63,100
YTC,2017-11-30,16.31,16.31,100
YTC,2017-12-01,13.86,13.86,25500
YTC,2017-12-04,13.86,13.86,0
YTC,2017-12-05,15.66,15.92,600
YTC,2017-12-06,15.88,15.88,0
YTC,2017-12-07,15.88,15.88,0
YTC,2017-12-08,15.88,15.88,0
YTC,2017-12-11,13.52,13.52,600
YTC,2017-12-12,12.02,15.53,400
YTC,2017-12-13,12.92,15.53,50
YTC,2017-12-14,14.8,14.8,100
YTC,2017-12-15,14.8,14.8,10
YTC,2017-12-18,14.8,14.8,0
YTC,2017-12-19,12.62,12.62,200
YTC,2017-12-20,12.62,12.62,10
YTC,2017-12-21,12.62,12.62,31
YTC,2017-12-22,12.62,12.62,0
YTC,2017-12-25,14.46,14.46,100
YTC,2017-12-26,14.46,14.46,2500
YTC,2017-12-27,14.46,14.46,0
YTC,2017-12-28,14.46,14.46,0
YTC,2017-12-29,14.46,14.46,0
YTC,2018-01-02,14.46,14.46,0
YTC,2018-01-03,16.31,16.31,100
YTC,2018-01-04,16.31,16.31,0
YTC,2018-01-05,16.31,16.31,0
YTC,2018-01-08,16.31,16.31,0
YTC,2018-01-09,16.31,16.31,0
YTC,2018-01-10,16.31,16.31,0
YTC,2018-01-11,16.31,16.31,0
YTC,2018-01-12,16.31,16.31,0
YTC,2018-01-15,15.02,15.02,100
YTC,2018-01-16,15.02,15.02,0
YTC,2018-01-17,15.02,15.02,0
YTC,2018-01-18,15.02,15.02,0
YTC,2018-01-19,15.02,15.02,0
YTC,2018-01-22,15.02,15.02,0
YTC,2018-01-23,15.02,15.02,2300
YTC,2018-01-24,17.16,17.16,2700
YTC,2018-01-25,17.16,19.31,300
YTC,2018-01-26,17.89,17.89,0
YTC,2018-01-29,15.45,15.45,800
YTC,2018-01-30,16.26,16.26,100
YTC,2018-01-31,16.26,16.26,0
YTC,2018-02-01,16.26,16.26,0
YTC,2018-02-02,17.37,17.37,100
YTC,2018-02-05,17.37,17.37,0
YTC,2018-02-06,14.77,14.77,500
YTC,2018-02-07,16.97,16.97,100
YTC,2018-02-08,16.97,16.97,0
YTC,2018-02-09,16.97,16.97,0
YTC,2018-02-12,18.73,18.73,100
YTC,2018-02-13,18.73,18.73,0
YTC,2018-02-21,18.73,18.73,0
YTC,2018-02-22,18.73,18.73,0
YTC,2018-02-23,18.73,18.73,0
YTC,2018-02-26,18.73,18.73,0
YTC,2018-02-27,18.73,18.73,0
YTC,2018-02-28,20.5,20.5,100
YTC,2018-03-01,20.5,20.5,0
YTC,2018-03-02,20.5,20.5,0
YTC,2018-03-05,21.82,21.82,100
YTC,2018-03-06,21.82,21.82,0
YTC,2018-03-07,21.82,21.82,0
YTC,2018-03-08,22.04,22.04,7400
YTC,2018-03-09,22.04,18.51,7900
YTC,2018-03-12,21.82,21.11,1240
YTC,2018-03-13,18.51,22.48,300
YTC,2018-03-14,20.94,20.72,1700
YTC,2018-03-15,21.38,21.38,200
YTC,2018-03-16,21.6,21.6,100
YTC,2018-03-19,23.8,23.8,100
YTC,2018-03-20,23.8,23.8,0
YTC,2018-03-21,23.8,23.8,0
YTC,2018-03-22,23.8,23.8,0
YTC,2018-03-23,23.8,23.8,0
YTC,2018-03-26,23.8,23.8,2
YTC,2018-03-27,23.8,23.8,7
YTC,2018-03-28,23.8,23.8,0
YTC,2018-03-29,26.45,26.45,100
YTC,2018-03-30,26.45,26.45,0
YTC,2018-04-02,29.53,29.53,100
YTC,2018-04-03,29.53,29.53,0
YTC,2018-04-04,29.53,29.53,2
YTC,2018-04-05,29.53,29.53,0
YTC,2018-04-06,29.53,29.53,0
YTC,2018-04-09,29.53,29.53,0
YTC,2018-04-10,29.53,29.53,0
YTC,2018-04-11,29.53,29.53,0
YTC,2018-04-12,29.53,29.53,0
YTC,2018-04-13,29.53,29.53,2
YTC,2018-04-16,29.53,29.53,3
YTC,2018-04-17,29.53,29.53,1
YTC,2018-04-18,29.53,29.53,0
YTC,2018-04-19,29.53,29.53,0
YTC,2018-04-20,29.53,29.53,0
YTC,2018-04-23,29.53,29.53,0
YTC,2018-04-24,29.53,29.53,0
YTC,2018-04-26,29.53,29.53,1
YTC,2018-04-27,29.53,29.53,0
YTC,2018-05-02,25.12,25.12,100
YTC,2018-05-03,25.12,25.12,2
YTC,2018-05-04,25.12,25.12,2
YTC,2018-05-07,25.12,25.12,0
YTC,2018-05-08,25.12,25.12,0
YTC,2018-05-09,21.38,21.6,1000
YTC,2018-05-10,21.42,21.42,0
YTC,2018-05-11,21.42,21.42,0
YTC,2018-05-14,21.42,21.42,0
YTC,2018-05-15,21.16,21.16,2000
YTC,2018-05-16,21.16,21.16,0
YTC,2018-05-17,21.16,21.16,0
YTC,2018-05-18,21.16,21.16,0
YTC,2018-05-21,21.16,21.16,0
YTC,2018-05-22,21.16,21.16,0
YTC,2018-05-23,21.16,21.16,2
YTC,2018-05-24,21.16,21.16,0
YTC,2018-05-25,18.03,17.98,2000
YTC,2018-05-28,20.05,20.5,2400
YTC,2018-05-29,17.32,17.32,100
YTC,2018-05-30,17.63,19.39,700
YTC,2018-05-31,19.13,19.13,0
YTC,2018-06-01,19.13,19.13,0
YTC,2018-06-04,19.13,19.13,0
YTC,2018-06-05,16.26,16.26,100
YTC,2018-06-06,16.75,16.75,200
YTC,2018-06-07,14.24,14.24,100
YTC,2018-06-08,12.12,12.12,100
YTC,2018-06-11,13.93,13.93,100
YTC,2018-06-12,13.93,13.93,0
YTC,2018-06-13,15.87,15.87,100
YTC,2018-06-14,17.63,17.63,100
YTC,2018-06-15,17.63,17.63,0
YTC,2018-06-18,17.63,17.63,0
YTC,2018-06-19,17.63,17.63,0
YTC,2018-06-20,17.63,17.63,10
YTC,2018-06-21,17.63,17.63,0
YTC,2018-06-22,18.95,18.95,2080
YTC,2018-06-25,18.95,18.95,0
YTC,2018-06-26,18.95,18.95,0
YTC,2018-06-27,18.95,18.95,0
YTC,2018-06-28,18.95,18.95,0
YTC,2018-06-29,18.95,18.95,10
YTC,2018-07-02,18.95,18.95,0
YTC,2018-07-03,18.95,18.95,0
YTC,2018-07-04,18.95,18.95,0
YTC,2018-07-05,18.95,18.95,0
YTC,2018-07-06,18.95,18.95,0
YTC,2018-07-09,18.95,18.95,0
YTC,2018-07-10,18.95,18.95,0
YTC,2018-07-11,18.95,18.95,0
YTC,2018-07-12,18.95,18.95,0
YTC,2018-07-13,17.63,17.63,810
YTC,2018-07-16,17.63,17.63,0
YTC,2018-07-17,17.63,17.63,2
YTC,2018-07-18,17.63,17.63,0
YTC,2018-07-19,17.63,17.63,0
YTC,2018-07-20,17.63,17.63,0
YTC,2018-07-23,17.63,17.63,0
YTC,2018-07-24,17.15,17.15,0
YTC,2018-07-25,17.63,17.63,0
YTC,2018-07-26,17.63,17.63,0
YTC,2018-07-27,17.63,17.63,0
YTC,2018-07-30,18.13,18.13,102
YTC,2018-07-31,18.13,18.13,0
YTC,2018-08-01,18.13,18.13,0
YTC,2018-08-02,18.13,18.13,0
YTC,2018-08-03,18.13,18.13,0
YTC,2018-08-06,18.13,18.13,0
YTC,2018-08-07,18.13,18.13,0
YTC,2018-08-08,18.13,18.13,0
YTC,2018-08-09,18.13,18.13,0
YTC,2018-08-10,18.13,18.13,0
YTC,2018-08-13,18.13,18.13,0
YTC,2018-08-14,18.13,18.13,0
YTC,2018-08-15,18.13,18.13,0
YTC,2018-08-16,18.13,18.13,0
YTC,2018-08-17,18.13,18.13,0
YTC,2018-08-20,20.4,20.4,5100
YTC,2018-08-21,20.4,20.4,100
YTC,2018-08-22,20.4,23.11,4803
YTC,2018-08-23,21.17,21.17,0
YTC,2018-08-24,21.17,21.17,0
YTC,2018-08-27,21.3,24.34,11100
YTC,2018-08-28,23.66,24.34,65
YTC,2018-08-29,23.7,23.7,1300
YTC,2018-08-30,23.7,23.7,20
YTC,2018-08-31,23.79,23.79,1765
YTC,2018-09-04,23.79,23.79,0
YTC,2018-09-05,23.79,23.79,0
YTC,2018-09-06,23.79,23.79,0
YTC,2018-09-07,23.79,23.79,0
YTC,2018-09-10,23.98,23.98,200
YTC,2018-09-11,24.02,27.56,2700
YTC,2018-09-12,25.02,25.02,0
YTC,2018-09-13,25.02,25.02,0
YTC,2018-09-14,25.02,25.02,0
YTC,2018-09-17,25.02,25.02,0
YTC,2018-09-18,25.02,25.02,0
YTC,2018-09-19,25.06,25.06,100
YTC,2018-09-20,25.06,25.06,0
YTC,2018-09-21,25.06,25.06,100
YTC,2018-09-24,25.11,25.11,100
YTC,2018-09-25,26.29,26.74,2000
YTC,2018-09-26,26.51,26.51,100
YTC,2018-09-27,26.51,26.51,1200
YTC,2018-09-28,26.51,26.51,0
YTC,2018-10-01,26.56,26.56,100
YTC,2018-10-02,26.56,26.56,0
YTC,2018-10-03,26.56,26.56,0
YTC,2018-10-04,27.19,29.46,1900
YTC,2018-10-05,24.47,24.47,2050
YTC,2018-10-08,24.47,24.47,0
YTC,2018-10-09,27.65,28.1,400
YTC,2018-10-10,28.01,28.01,2400
YTC,2018-10-11,28.01,28.01,8300
YTC,2018-10-12,28.1,28.01,3400
YTC,2018-10-15,28.01,28.01,100
YTC,2018-10-16,28.01,28.01,200
YTC,2018-10-17,28.01,28.01,1000
YTC,2018-10-18,28.01,28.01,0
YTC,2018-10-19,28.01,28.01,0
YTC,2018-10-22,28.01,28.01,0
YTC,2018-10-23,28.01,28.01,0
YTC,2018-10-24,28.01,28.01,0
YTC,2018-10-25,31.73,31.73,1300
YTC,2018-10-26,31.45,31.45,0
YTC,2018-10-29,31.45,31.45,0
YTC,2018-10-30,31.45,31.45,100
YTC,2018-10-31,34.4,31.45,1500
YTC,2018-11-01,34.4,31.45,1500
YTC,2018-11-02,33.4,33.4,900
YTC,2018-11-05,33.4,33.4,100
YTC,2018-11-06,33.4,28.55,51100
YTC,2018-11-07,28.69,28.69,0
YTC,2018-11-08,32.95,32.95,13600
YTC,2018-11-09,34.45,37.16,71300
YTC,2018-11-12,38.07,38.52,900
YTC,2018-11-13,39.43,40.79,500
YTC,2018-11-14,39.97,42.6,500
YTC,2018-11-15,39.88,41.24,800
YTC,2018-11-16,40.79,40.79,2000
YTC,2018-11-19,41.7,41.7,400
YTC,2018-11-20,35.44,35.44,1400
YTC,2018-11-21,35.44,35.44,0
YTC,2018-11-22,35.44,35.44,0
YTC,2018-11-23,30.37,30.37,200
YTC,2018-11-26,30.37,30.37,0
YTC,2018-11-27,30.37,30.37,0
YTC,2018-11-28,34.45,25.83,200
YTC,2018-11-29,34.63,34.63,100
YTC,2018-11-30,34.63,34.63,1100
YTC,2018-12-03,35.8,34.63,1800
YTC,2018-12-04,38.52,39.88,48100
YTC,2018-12-05,39.88,40.79,33900
YTC,2018-12-06,39.88,39.88,35800
YTC,2018-12-07,34.45,41.24,3100
YTC,2018-12-10,32.81,38.57,2100
YTC,2018-12-11,37.62,37.62,100
YTC,2018-12-12,40.79,40.79,57600
YTC,2018-12-13,40.61,40.61,8000
YTC,2018-12-14,35.35,39.88,7200
YTC,2018-12-17,40.38,39.88,0
YTC,2018-12-18,40.38,40.38,1210
YTC,2018-12-19,40.38,40.38,10410
YTC,2018-12-20,39.43,40.38,0
YTC,2018-12-21,39.43,40.38,0
YTC,2018-12-24,39.43,40.38,0
YTC,2018-12-25,39.43,40.38,0
YTC,2018-12-26,42.6,42.6,1900
YTC,2018-12-27,42.6,38.93,4600
YTC,2018-12-28,43.96,43.96,100
YTC,2019-01-02,37.62,37.62,600
YTC,2019-01-03,32.18,32.0,2500
YTC,2019-01-04,29.46,29.46,200
YTC,2019-01-07,25.83,25.83,600
YTC,2019-01-08,22.21,22.21,300
YTC,2019-01-09,22.21,22.21,0
YTC,2019-01-10,22.21,22.21,0
YTC,2019-01-11,22.21,22.21,0
YTC,2019-01-14,22.21,22.21,0
YTC,2019-01-15,22.21,22.72,0
YTC,2019-01-16,22.21,22.72,0
YTC,2019-01-17,22.21,22.72,0
YTC,2019-01-18,22.21,22.72,1
YTC,2019-01-21,22.21,22.72,0
YTC,2019-01-22,22.21,22.72,0
YTC,2019-01-23,22.21,22.72,0
YTC,2019-01-24,22.21,22.72,0
YTC,2019-01-25,22.21,22.72,0
YTC,2019-01-28,22.21,22.72,0
YTC,2019-01-29,22.21,22.72,0
YTC,2019-01-30,22.21,22.72,0
YTC,2019-01-31,25.5,19.47,2000
YTC,2019-02-01,22.49,19.47,0
YTC,2019-02-11,22.49,19.47,0
YTC,2019-02-12,22.49,19.47,0
YTC,2019-02-13,22.49,19.47,0
YTC,2019-02-14,22.49,19.47,0
YTC,2019-02-15,22.49,19.47,0
YTC,2019-02-18,22.49,22.49,1000
YTC,2019-02-19,22.49,22.49,0
YTC,2019-02-20,22.49,22.49,0
YTC,2019-02-21,22.49,22.49,0
YTC,2019-02-22,22.49,22.49,0
YTC,2019-02-25,22.49,22.49,0
YTC,2019-02-26,22.49,22.49,0
YTC,2019-02-27,22.49,22.49,0
YTC,2019-02-28,22.49,22.49,0
YTC,2019-03-01,22.49,22.49,0
YTC,2019-03-04,22.49,22.49,0
YTC,2019-03-05,19.94,19.94,100
YTC,2019-03-06,20.03,20.03,100
YTC,2019-03-07,20.03,20.03,0
YTC,2019-03-08,20.03,20.03,0
YTC,2019-03-11,20.03,20.03,0
YTC,2019-03-12,20.86,20.86,100
YTC,2019-03-13,20.86,20.86,0
YTC,2019-03-14,23.97,23.97,1500
YTC,2019-03-15,27.54,27.54,100
YTC,2019-03-18,31.66,31.66,800
YTC,2019-03-19,36.39,36.39,2300
YTC,2019-03-20,36.39,36.39,4600
YTC,2019-03-21,36.39,36.39,6000
YTC,2019-03-22,36.39,36.39,0
YTC,2019-03-25,36.39,41.82,1500
YTC,2019-03-26,32.5,32.5,200
YTC,2019-03-27,32.92,32.92,1500
YTC,2019-03-28,37.09,37.09,100
YTC,2019-03-29,37.04,37.04,1400
YTC,2019-04-01,36.86,36.86,500
YTC,2019-04-02,37.09,37.09,100
YTC,2019-04-03,37.09,37.09,15
YTC,2019-04-04,31.76,31.76,100
YTC,2019-04-05,27.4,27.4,100
YTC,2019-04-08,31.48,28.37,200
YTC,2019-04-09,29.67,29.67,4400
YTC,2019-04-10,29.67,29.67,0
YTC,2019-04-11,29.67,29.67,0
YTC,2019-04-12,29.67,29.67,0
YTC,2019-04-16,29.67,29.67,0
