symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17,Report_Type,Symbol,id,officer_name,officer_position,position_short_name,officer_own_percent,quantity,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,share_holder,share_own_percent,date,description,link,name,sub_organ_code,ownership_percent,organ_name,type
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93238309,,,,,1960.0,,,,,,,Huỳnh Công Triết,0.0002,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93249382,,,,,550.0,,,,,,,Nguyễn Thị Thu Thúy,0.0002,,,,,,,,
YEG,2025.0,3.0,1761905004573,391368658981.0,0.1342900071267522,8593601510.0,-0.6704332266058943,0.027310264321782733,0.071469609,0.0090381189,0.0515574141,15.0584939337,1.1331279008,44.804537709936184,2.859173668,0.3337904826,2.5638804171,-2.5934934627151147,1.3048922290570912,0.11602860866985772,0.021981116103766414,0.11584809301189491,2330394725250.0,191802035,1.5909069049,7.115547852,10722.5318439765,23.437176996,0.5588808545,6.7296050475,109.86475919313631,27.0647822144,32.5970108476,806.853597279,1918020350000,0.0180548088,1.100266587224687,0.3048922291,0.0,103830704529.0,10677052412.0,0.1371945189,0.3048922291,169.5265522551363,13.4861606167,RatioSummary,YEG,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reports_Default,YEG,,,,,,,,,,,,,,,2025-09-17T00:00:00Z,"- YEG là công ty truyền thông lớn với hệ sinh thái từ sản xuất đến thương mại hóa nội dung, sở hữu giá trị bản quyền cao và hợp đồng quảng cáo bền vữn",https://www.vietcap.com.vn/trung-tam-phan-tich/yeg-khong-danh-gia-dau-tu-san-xuat-noi-dung-thuc-day-loi-nhuan-ky-luc-bao-cao-cong-ty,YEG [KHÔNG ĐÁNH GIÁ] - Đầu tư sản xuất nội dung thúc đẩy lợi nhuận kỷ lục - Báo cáo Công ty,,,,
,,,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,15,Đào Phúc Trí,Tổng Giám đốc/Phó Chủ tịch Hội đồng Quản trị,TGĐ/Phó Chủ tịch HĐQT,0.0459,6027000.0,,,,,,,,,,,,,,,,
,,,2025-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,16,Võ Thái Phong,Phó Tổng Giám đốc Tài chính,Phó TGĐ - Tài chính,0.0027,79802.0,,,,,,,,,,,,,,,,
,,,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,8,Nguyễn Ngọc Hưng,Phó Tổng Giám đốc,Phó TGĐ,0.0009,26087.0,,,,,,,,,,,,,,,,
,,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,9,Nguyễn Vũ Nghị,Phó Tổng Giám đốc,Phó TGĐ,0.0003,10111.0,,,,,,,,,,,,,,,,
,,,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,17,Trần Thị Mỹ Duyên,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,0.0003,57130.0,,,,,,,,,,,,,,,,
,,,2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,18,Nguyễn Văn Nam,Thành viên Ban Kiểm toán nội bộ,Thành viên BKT nội bộ,0.00011,21080.0,,,,,,,,,,,,,,,,
,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,7,Lâm Quốc Thái,Thành viên Ban Kiểm toán nội bộ,Thành viên BKT nội bộ,0.0,0.0,,,,,,,,,,,,,,,,
,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,1,Nguyễn Ảnh Nhượng Tống,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,0.0,0.0,,,,,,,,,,,,,,,,
